"impacto_presupuestario_anio","impacto_presupuestario_mes","jurisdiccion_id","jurisdiccion_desc","servicio_id"," servicio_desc","programa_id","programa_desc","ejercicio_presupuestario","subprograma_desc","proyecto_id","proyecto_desc","actividad_id","actividad_desc","obra_id","obra_desc","fuente_financiamiento_id_desc",,"clasificador_economico_8_digitos_id","clasificador_economico_8_digitos_desc","inciso_id","inciso_desc","principal_id","principal_desc","parcial_id","parcial_desc","subparcial_id","subparcial_desc","credito_presupuestado","credito_vigente","credito_devengado"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","4","Servicios Técnicos y Profesionales","9","Otros N.E.P.","0","Otros N.E.P.","253200","253200","459858,42"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","5","Servicios Comerciales y Financieros","3","Imprenta, Publicaciones y Reproducciones","0","Imprenta, Publicaciones y Reproducciones","253200","253200","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","5","Servicios Comerciales y Financieros","5","Comisiones y Gastos Bancarios","0","Comisiones y Gastos Bancarios","71700","71700","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","26","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","44","Impulso a Políticas Integrales de Género y Diversidad Sexual (PPG)","0","Promoción y Defensa de los Derechos Humanos - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","7","Pasajes y Viáticos","2","Viáticos","0","Viáticos","316500","316500","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","1","Retribución del Cargo","0","Retribución del Cargo","486075","486075","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","3","Retribuciones que no hacen al Cargo","0","Retribuciones que no hacen al Cargo","47","47","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","4","Sueldo Anual Complementario","0","Sueldo Anual Complementario","40510","40510","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","1","Retribuciones por contratos","0","Retribuciones por contratos","25630658","25630658","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","2","Adicionales al contrato","0","Adicionales al contrato","4512382","4512382","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","3","Sueldo anual complementario","0","Sueldo anual complementario","2511919","2511919","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","1","Personal Permanente","6","Contribuciones Patronales","0","Contribuciones Patronales","134290","134290","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","8","Personal contratado","5","Contribuciones patronales","0","Contribuciones patronales","8327014","8327014","45607,8"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21221000","Bienes de Consumo","2","Bienes de Consumo","9","Otros Bienes de Consumo","9","Otros N.E.P.","0","Otros N.E.P.","70000","70000","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","1","Servicios Básicos","1","Energía Eléctrica","0","Energía Eléctrica","1526024","1526024","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","1","Servicios Básicos","5","Correos y Telégrafo","0","Correos y Telégrafo","921373","921373","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","2","Alquileres y Derechos","4","Alquiler de Fotocopiadoras","0","Alquiler de Fotocopiadoras","287929","287929","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","2","Alquileres y Derechos","9","Otros N.E.P.","0","Otros N.E.P.","345515","345515","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","3","Mantenimiento, Reparación y Limpieza","3","Mantenimiento y Reparación de Maquinaria y Equipo","0","Mantenimiento y Reparación de Maquinaria y Equipo","1368815","1368815","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","3","Mantenimiento, Reparación y Limpieza","5","Limpieza, Aseo y Fumigación","0","Limpieza, Aseo y Fumigación","394463","394463","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","4","Servicios Técnicos y Profesionales","2","Médicos y Sanitarios","0","Médicos y Sanitarios","28793","28793","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","4","Servicios Técnicos y Profesionales","9","Otros N.E.P.","0","Otros N.E.P.","345515","345515","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","5","Servicios Comerciales y Financieros","3","Imprenta, Publicaciones y Reproducciones","0","Imprenta, Publicaciones y Reproducciones","345515","345515","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","5","Servicios Comerciales y Financieros","5","Comisiones y Gastos Bancarios","0","Comisiones y Gastos Bancarios","97896","97896","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","7","Pasajes y Viáticos","1","Pasajes","0","Pasajes","719823","719823","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","7","Pasajes y Viáticos","2","Viáticos","0","Viáticos","431894","431894","121227,5"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","43","Rescate y Acompañamiento a Víctimas de Trata (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21222000","Servicios No Personales","3","Servicios No Personales","9","Otros Servicios","9","Otros N.E.P.","0","Otros N.E.P.","276412","276412","201683,26"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","1","Retribución del Cargo","0","Retribución del Cargo","775430","775430","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","3","Retribuciones que no hacen al Cargo","0","Retribuciones que no hacen al Cargo","268896","268896","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","1","Personal Permanente","4","Sueldo Anual Complementario","0","Sueldo Anual Complementario","87027","87027","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","1","Retribuciones por contratos","0","Retribuciones por contratos","68885195","68885195","19733812,98"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","2","Adicionales al contrato","0","Adicionales al contrato","14936345","14936345","2303560,77"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21211000","Sueldos y Salarios","1","Gastos en Personal","8","Personal contratado","3","Sueldo anual complementario","0","Sueldo anual complementario","6985128","6985128","4601200,97"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","1","Personal Permanente","6","Contribuciones Patronales","0","Contribuciones Patronales","288495","288495","0"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21212000","Contribuciones Patronales","1","Gastos en Personal","8","Personal contratado","5","Contribuciones patronales","0","Contribuciones patronales","23155700","23155700","104121,34"
"2019","6","40","Ministerio de Justicia y Derechos Humanos","332","Ministerio de Justicia y Derechos Humanos (Gastos Propios)","43","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","0","Afianzamiento de la Justicia como Valor - Justicia 2020","44","Protección de Víctimas de Violencias (PPG)","0","Afianzamiento de la Justicia como Valor - Justicia 2020","1.3 - Recursos con Afectación Específica",,"21221000","Bienes de Consumo","2","Bienes de Consumo","1","Productos Alimenticios, Agropecuarios y Forestales","1","Alimentos para Personas","0","Alimentos para Personas","0","0","370"
